value: 0.3149888780381944   policy: 1.7946185359248408   loss: 2.109607458114624
value: 0.1919322175104261   policy: 1.5923307114753171   loss: 1.784263014793396
value: 0.16353002337043   policy: 1.4544942978926139   loss: 1.6180243492126465
value: 0.12267476882184428   policy: 1.4905478464791788   loss: 1.6132227182388306
value: 0.15092709189967105   policy: 1.4509507564076207   loss: 1.6018778085708618
value: 0.14886225450225282   policy: 1.3761261286732773   loss: 1.5249885320663452
value: 0.13849028048713516   policy: 1.424452205741901   loss: 1.5629425048828125
value: 0.1722977746537317   policy: 1.3545413733402014   loss: 1.5268391370773315
value: 0.15632196581270857   policy: 1.359925742144049   loss: 1.5162476301193237
value: 0.178636752760951   policy: 1.3244515536413337   loss: 1.5030882358551025
value: 0.17112524921575833   policy: 1.3491603592553336   loss: 1.5202856063842773
value: 0.18160884896504512   policy: 1.3366997274314976   loss: 1.5183085203170776
value: 0.1441955393305977   policy: 1.3925371348553601   loss: 1.5367326736450195
value: 0.15423205572930584   policy: 1.4094089526406333   loss: 1.56364107131958
value: 0.1639736304848881   policy: 1.3966245489605402   loss: 1.5605982542037964
value: 0.10647290396147921   policy: 1.387506983003792   loss: 1.4939799308776855
value: 0.16895025687156318   policy: 1.37173029690853   loss: 1.5406805276870728
value: 0.17351849909518718   policy: 1.3328801966489063   loss: 1.5063987970352173
value: 0.14449896043346774   policy: 1.3797633673555108   loss: 1.5242623090744019
value: 0.13760868518619948   policy: 1.3909571244779235   loss: 1.528565764427185
value: 0.13539879673366217   policy: 1.3630761565121918   loss: 1.4984749555587769
value: 0.12592290521978022   policy: 1.3960961262509812   loss: 1.5220190286636353
value: 0.14253601826124798   policy: 1.3891381875167381   loss: 1.5316741466522217
value: 0.10706183477579971   policy: 1.3768935976940118   loss: 1.4839555025100708
value: 0.13938331604003906   policy: 1.419170317102651   loss: 1.5585534572601318
value: 0.1476944266468622   policy: 1.3988365712160953   loss: 1.5465309619903564
value: 0.14769201130006787   policy: 1.3940648544073635   loss: 1.5417568683624268
value: 0.15092115208472948   policy: 1.3836388857047122   loss: 1.5345600843429565
value: 0.1361424743188605   policy: 1.3686626173473115   loss: 1.5048049688339233
value: 0.1424541284956864   policy: 1.3911422243756861   loss: 1.533596396446228
value: 0.13021318866500248   policy: 1.4072351531462826   loss: 1.5374484062194824
value: 0.1391678405322617   policy: 1.3652642339253598   loss: 1.5044320821762085
value: 0.13816435541910269   policy: 1.386202418022369   loss: 1.5243667364120483
value: 0.13875140814945616   policy: 1.3988484349744073   loss: 1.5375999212265015
value: 0.150053418638334   policy: 1.3909337812335179   loss: 1.5409871339797974
value: 0.13881752422317065   policy: 1.3996869624887474   loss: 1.5385044813156128
value: 0.13321483442780896   policy: 1.40874104061855   loss: 1.5419559478759766
value: 0.15319166526019976   policy: 1.3831096373145497   loss: 1.5363013744354248
value: 0.12782997774512161   policy: 1.3899623325892858   loss: 1.5177923440933228
value: 0.12315917935560682   policy: 1.3785204573647363   loss: 1.5016796588897705
value: 0.0837242524590863   policy: 1.4160101649860224   loss: 1.4997344017028809
value: 0.1403882429288555   policy: 1.3998838098631212   loss: 1.5402718782424927
value: 0.17028326066410912   policy: 1.3392556857379923   loss: 1.509539008140564
value: 0.15012761896306817   policy: 1.3781322132457385   loss: 1.5282597541809082
value: 0.13738980603291892   policy: 1.4031129567369711   loss: 1.540502905845642
value: 0.14681904177417812   policy: 1.409874779004205   loss: 1.5566937923431396
value: 0.14055638333244802   policy: 1.390126248283865   loss: 1.5306826829910278
value: 0.13906790311219264   policy: 1.4048159740010246   loss: 1.543884038925171
value: 0.17507638653284874   policy: 1.3772094653944824   loss: 1.5522857904434204
value: 0.17254003328985545   policy: 1.4019205165981834   loss: 1.5744603872299194
value: 0.1491615312326774   policy: 1.4010973336162693   loss: 1.5502588748931885
