value: 0.1452384617017663   policy: 1.7855025223083139   loss: 1.9307409524917603
value: 0.1558830201156496   policy: 1.4844782951935696   loss: 1.6403611898422241
value: 0.1684953380445924   policy: 1.2985537023239389   loss: 1.4670491218566895
value: 0.16583423928844365   policy: 1.2735413343965976   loss: 1.4393755197525024
value: 0.1456329345703125   policy: 1.2459750205592106   loss: 1.3916078805923462
value: 0.16826537786010443   policy: 1.2770188690110564   loss: 1.445284128189087
value: 0.14346242684399427   policy: 1.301128439391074   loss: 1.4445909261703491
value: 0.1483020396532215   policy: 1.3431717585197018   loss: 1.4914737939834595
value: 0.11892210935542961   policy: 1.3312760775457164   loss: 1.4501982927322388
value: 0.13011053394173563   policy: 1.350234440676733   loss: 1.4803450107574463
value: 0.1286923053930946   policy: 1.3517401236358504   loss: 1.4804325103759766
value: 0.15234878960005735   policy: 1.2601256469549735   loss: 1.412474513053894
value: 0.15695381834467512   policy: 1.2909525379845084   loss: 1.447906255722046
value: 0.1804528526236384   policy: 1.3014021735476062   loss: 1.481855034828186
value: 0.17226361458473494   policy: 1.2469772815191065   loss: 1.419240951538086
value: 0.15208367727547456   policy: 1.2522806511909026   loss: 1.4043642282485962
value: 0.1262527844920662   policy: 1.3115039770153984   loss: 1.4377567768096924
value: 0.10875590162753274   policy: 1.360811452190757   loss: 1.4695674180984497
value: 0.10400491382983773   policy: 1.3622475536928818   loss: 1.4662524461746216
value: 0.13445443984475416   policy: 1.4040317721722364   loss: 1.5384862422943115
value: 0.11011639811197917   policy: 1.3756729166666666   loss: 1.4857892990112305
value: 0.1567846113979184   policy: 1.3196519162653546   loss: 1.4764364957809448
value: 0.1283200288107424   policy: 1.3159503328262514   loss: 1.444270372390747
value: 0.10421451521508487   policy: 1.3392197145061728   loss: 1.443434238433838
value: 0.10758940844941349   policy: 1.341786732305413   loss: 1.449376106262207
value: 0.12573397951154452   policy: 1.2925051489717543   loss: 1.4182392358779907
value: 0.11293459738055199   policy: 1.3244117914244187   loss: 1.4373464584350586
value: 0.13979204682303892   policy: 1.3560843868185968   loss: 1.495876431465149
value: 0.14003358372605484   policy: 1.3871870956728005   loss: 1.5272207260131836
value: 0.14369233953889715   policy: 1.338141224371693   loss: 1.481833577156067
value: 0.14202512710813492   policy: 1.365320793030754   loss: 1.5073459148406982
value: 0.15378013583325284   policy: 1.3371857491306027   loss: 1.4909658432006836
value: 0.08672657410505767   policy: 1.367345130195094   loss: 1.4540716409683228
value: 0.15676630965272867   policy: 1.259865767547737   loss: 1.416632056236267
value: 0.14244348862591913   policy: 1.2825188017915499   loss: 1.4249622821807861
value: 0.11594741279028903   policy: 1.3006139867647886   loss: 1.416561484336853
value: 0.12771539545770902   policy: 1.301900835179571   loss: 1.4296162128448486
value: 0.1355339690703087   policy: 1.337998065828178   loss: 1.4735320806503296
value: 0.1524432159002225   policy: 1.315408931655154   loss: 1.4678521156311035
value: 0.11362385828354779   policy: 1.3096453354779412   loss: 1.423269271850586
value: 0.1321837958215914   policy: 1.364838505393811   loss: 1.4970223903656006
value: 0.12551204960429324   policy: 1.3714940591249387   loss: 1.4970060586929321
value: 0.1278928466796875   policy: 1.338487109375   loss: 1.466380000114441
value: 0.11614438370906588   policy: 1.3586857209556928   loss: 1.4748300313949585
value: 0.1520365046736242   policy: 1.2371321597063374   loss: 1.389168620109558
value: 0.13416640632515875   policy: 1.2965908999807594   loss: 1.4307572841644287
value: 0.14858797997543494   policy: 1.2808669257409795   loss: 1.429455041885376
value: 0.1306113426700594   policy: 1.3123131981628509   loss: 1.4429246187210083
value: 0.1685052377488455   policy: 1.2977512491029082   loss: 1.4662563800811768
value: 0.17202524532153654   policy: 1.2833015770816902   loss: 1.455326795578003
value: 0.1802522531875497   policy: 1.2697865232303818   loss: 1.4500389099121094
value: 0.13041228590025306   policy: 1.2870587219618472   loss: 1.417470932006836
value: 0.15919732122738997   policy: 1.2716069916241919   loss: 1.4308042526245117
value: 0.15658387585336864   policy: 1.3193364662290201   loss: 1.47592031955719
value: 0.14584767094658146   policy: 1.3204968407417619   loss: 1.4663445949554443
value: 0.10806729151075684   policy: 1.3122283389271892   loss: 1.4202955961227417
value: 0.16858087204794847   policy: 1.2954046894879134   loss: 1.463985562324524
value: 0.14292480228335794   policy: 1.3136450928575825   loss: 1.4565699100494385
value: 0.09599823988120974   policy: 1.3091976952006799   loss: 1.405195951461792
value: 0.11226276622777988   policy: 1.3703639135779122   loss: 1.4826267957687378
value: 0.12860531778730586   policy: 1.4068312184109961   loss: 1.5354365110397339
value: 0.1260974146082555   policy: 1.3630476046731064   loss: 1.4891449213027954
value: 0.11234527116517969   policy: 1.3239579440707523   loss: 1.4363032579421997
value: 0.12361358891447263   policy: 1.3111627016835499   loss: 1.4347761869430542
value: 0.13550450074348566   policy: 1.3202168598155841   loss: 1.4557212591171265
value: 0.12615235131393737   policy: 1.3394449559476287   loss: 1.46559739112854
value: 0.1609775688812023   policy: 1.3495207886052798   loss: 1.5104984045028687
value: 0.1581198791116791   policy: 1.314401767722648   loss: 1.4725216627120972
value: 0.12360399485540934   policy: 1.3250883269219345   loss: 1.4486923217773438
value: 0.16487399356731006   policy: 1.3097885575974346   loss: 1.4746625423431396
value: 0.139337044296146   policy: 1.3506064407562208   loss: 1.489943504333496
value: 0.11422344046845921   policy: 1.3435329995735112   loss: 1.4577564001083374
value: 0.11561915118110545   policy: 1.3573465093168677   loss: 1.4729657173156738
value: 0.12331628437806828   policy: 1.3614169995937162   loss: 1.4847332239151
value: 0.11297686648737831   policy: 1.3716978243572142   loss: 1.4846746921539307
value: 0.12198868227566564   policy: 1.326109370999744   loss: 1.448098063468933
value: 0.14813152311343022   policy: 1.331564855551944   loss: 1.4796963930130005
